"","Sample","Pond","Date","Julianday","Time","OH_mg.L","Na_perc","PCPN","PCPP","PNPP","CharacteristicID","ResultValue"
"1","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","TDS_mg.L","1254 "
"2","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Cond_uS.cm","1660"
"3","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","TOC_mg.L","20.89"
"4","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","DOC_mg.L","19.9"
"5","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","HCO3_mg.L","168.2"
"6","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","CO3_mg.L","0"
"7","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","FreeCO2_mg.L","9.69"
"8","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","POC_mg.L","0.989"
"9","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","NO3NO2_mg.L","L0.01"
"10","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","NH3_tot_mg.L","0.039"
"11","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","NH3_union_mg.L","0"
"12","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","TN_mg.L","0.49 "
"13","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","DN_mg.L","0.324 "
"14","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","PN_mg.L","0.161 "
"15","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","F_diss_mg.L","0.07"
"16","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Alk_tot_mg.L","138"
"17","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Alk_p_mg.L","0"
"18","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","pH","7.44"
"19","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Hard_tot_mg.L","852.2"
"20","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Hard_nonCO3_mg.L","714.2"
"21","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Na_diss_mg.L","35.9"
"22","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Mg_diss_mg.L","133"
"23","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","SiO2_mg.L","9.8"
"24","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","P_diss_ortho_mg.L","0.006"
"25","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","P_tot_mg.L","0.073"
"26","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","P_diss_mg.L","0.039"
"27","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","P_part_mg.L","0.034"
"28","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","SO4_diss_mg.L","801"
"29","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Cl_diss_mg.L","16.9"
"30","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","K_diss_mg.L","52.2"
"31","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Ca_diss_mg.L","122"
"32","930241","1B",1993-04-29,"113","13:30","0","7.8","7.2","75.0","10.5","Chla_mg.L",NA
"33","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","TDS_mg.L","1476 "
"34","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Cond_uS.cm","1905"
"35","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","TOC_mg.L","22.59"
"36","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","DOC_mg.L","22.4"
"37","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","HCO3_mg.L","201.1"
"38","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","CO3_mg.L","0"
"39","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","FreeCO2_mg.L","5.92"
"40","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","POC_mg.L","0.192"
"41","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","NO3NO2_mg.L","L0.01"
"42","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","NH3_tot_mg.L","0.066"
"43","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","NH3_union_mg.L","0"
"44","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","TN_mg.L","0.96 "
"45","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","DN_mg.L","0.920 "
"46","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","PN_mg.L","0.039 "
"47","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","F_diss_mg.L","0.09"
"48","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Alk_tot_mg.L","165"
"49","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Alk_p_mg.L","0"
"50","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","pH","7.73"
"51","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Hard_tot_mg.L","999.3"
"52","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Hard_nonCO3_mg.L","834.3"
"53","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Na_diss_mg.L","40.8"
"54","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Mg_diss_mg.L","156"
"55","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","SiO2_mg.L","11.37"
"56","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","P_diss_ortho_mg.L","0.048"
"57","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","P_tot_mg.L","0.108"
"58","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","P_diss_mg.L","0.084"
"59","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","P_part_mg.L","0.024"
"60","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","SO4_diss_mg.L","947"
"61","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Cl_diss_mg.L","19.1"
"62","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","K_diss_mg.L","59.7"
"63","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Ca_diss_mg.L","143"
"64","930317","1B",1993-05-13,"133","12:00","0","7.6","5.7","20.6","3.6","Chla_mg.L","2.08"
"65","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","TDS_mg.L","1585 "
"66","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Cond_uS.cm","2044"
"67","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","TOC_mg.L","23.51"
"68","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","DOC_mg.L","23.3"
"69","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","HCO3_mg.L","206"
"70","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","CO3_mg.L","0"
"71","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","FreeCO2_mg.L","3.4"
"72","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","POC_mg.L","0.209"
"73","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","NO3NO2_mg.L","L0.01"
"74","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","NH3_tot_mg.L","0.059"
"75","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","NH3_union_mg.L","0"
"76","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","TN_mg.L","1.11 "
"77","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","DN_mg.L","1.07"
"78","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","PN_mg.L","0.038 "
"79","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","F_diss_mg.L","0.1"
"80","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Alk_tot_mg.L","169"
"81","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Alk_p_mg.L","0"
"82","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","pH","7.98"
"83","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Hard_tot_mg.L","1100.8"
"84","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Hard_nonCO3_mg.L","931.8"
"85","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Na_diss_mg.L","44.7"
"86","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Mg_diss_mg.L","177"
"87","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","SiO2_mg.L","8.49"
"88","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","P_diss_ortho_mg.L","0.021"
"89","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","P_tot_mg.L","0.12"
"90","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","P_diss_mg.L","0.06"
"91","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","P_part_mg.L","0.06"
"92","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","SO4_diss_mg.L","1022"
"93","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Cl_diss_mg.L","19.7"
"94","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","K_diss_mg.L","63.6"
"95","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Ca_diss_mg.L","149"
"96","930412","1B",1993-05-27,"147","12:20","0","7.6","6.4","9.0","1.4","Chla_mg.L","1.55"
"97","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","TDS_mg.L","1468 "
"98","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Cond_uS.cm","2097"
"99","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","TOC_mg.L","25.99"
"100","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","DOC_mg.L","25.6"
"101","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","HCO3_mg.L",NA
"102","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","CO3_mg.L",NA
"103","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","FreeCO2_mg.L",NA
"104","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","POC_mg.L","0.39"
"105","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","NO3NO2_mg.L","L0.01"
"106","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","NH3_tot_mg.L","0.046"
"107","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","NH3_union_mg.L",NA
"108","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","TN_mg.L","1.24 "
"109","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","DN_mg.L","1.17"
"110","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","PN_mg.L","0.070 "
"111","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","F_diss_mg.L","0.13"
"112","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Alk_tot_mg.L","277"
"113","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Alk_p_mg.L","12"
"114","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","pH","8.58"
"115","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Hard_tot_mg.L",NA
"116","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Hard_nonCO3_mg.L",NA
"117","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Na_diss_mg.L","48.7"
"118","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Mg_diss_mg.L","189"
"119","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","SiO2_mg.L","1.96"
"120","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","P_diss_ortho_mg.L","L0.002"
"121","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","P_tot_mg.L","0.061"
"122","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","P_diss_mg.L","0.048"
"123","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","P_part_mg.L","0.013"
"124","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","SO4_diss_mg.L","1011"
"125","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Cl_diss_mg.L","20.5"
"126","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","K_diss_mg.L","70.5"
"127","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Ca_diss_mg.L","147"
"128","930503","1B",1993-06-09,"160","12:18",NA,NA,"6.5","77.4","11.9","Chla_mg.L","2.74"
"129","930723","1B",1993-06-23,"174","14:30","0","8.2","7.0","64.5","9.2","TDS_mg.L","1722 "
"130","930723","1B",1993-06-23,"174","14:30","0","8.2","7.0","64.5","9.2","Cond_uS.cm","2130"
"131","930723","1B",1993-06-23,"174","14:30","0","8.2","7.0","64.5","9.2","TOC_mg.L","26.4"
"132","930723","1B",1993-06-23,"174","14:30","0","8.2","7.0","64.5","9.2","DOC_mg.L","26.1"
"133","930723","1B",1993-06-23,"174","14:30","0","8.2","7.0","64.5","9.2","HCO3_mg.L","141.4"
